role,skills
Mern Stack Dev,0
Python Web Developer,"Python,Django,Flask,PostgreSQL"
React Native Developer,"React Native,JavaScript,Redux"
Data Scientist,"Python,Machine Learning,Pandas"
Full Stack Javascript,"Spring,Springboot,JavaScript,Nodejs,React JS,MongoDB"
Mean Stack,"MongoDB,Express.js,Angular,Nodejs"
Devops Engineer,"Docker,Kubernetes,Jenkins,AWS"
Backend Developer,"Nodejs,Python,REST API,Database"
Frontend Developer,"JavaScript,HTML,CSS,React JS"
Android Developer,"Java,Kotlin,Android,Android Studio"
Ios Developer,"Swift,iOS,Xcode,Objective-C"
Cloud Engineer,"AWS,Azure,GCP,Docker"
Database Developer,"SQL,PostgreSQL,MongoDB,MySQL"
Api Developer,"REST API,GraphQL,Nodejs,Python"
Vue Developer,"Vue.js,JavaScript,Vuex,HTML"
Angular Developer,"Angular,TypeScript,RxJS,HTML"
Django Developer,"Python,Django,PostgreSQL,REST API"
Flask Developer,"Python,Flask,SQLAlchemy,REST API"
Nodejs Developer,"Nodejs,Express.js,MongoDB,REST API"
Typescript Developer,"TypeScript,Nodejs,Express.js,React JS"
Ml Engineer,"Python,Machine Learning,TensorFlow,PyTorch"
Data Analyst,"Python,Pandas,SQL,Excel"
Web Developer,"HTML,CSS,JavaScript,React JS"
Software Developer,"Programming,Algorithms,Data Structures"
Full Stack Developer,"JavaScript,Nodejs,React JS,MongoDB"
Mevn Stack,"MongoDB,Express.js,Vue.js,Nodejs"
Lamp Stack,"Linux,Apache,MySQL,PHP"
Python Backend,"Python,Django,Flask,PostgreSQL"
Javascript Developer,"JavaScript,Nodejs,Express.js,MongoDB"
React Developer,"React JS,JavaScript,HTML,CSS"
Flutter Developer,"Flutter,Dart,Mobile"
Microservices Developer,"Microservices,Docker,Kubernetes,REST API"
Spring Boot Developer,"Java,Spring Boot,MySQL,REST API"
Ruby On Rails Developer,"Ruby,Rails,PostgreSQL"
Go Developer,"Go,Docker,Kubernetes,Microservices"
Rust Developer,"Rust,Systems Programming,Performance"
Php Developer,"PHP,MySQL,Laravel,Apache"
Scala Developer,"Scala,Spark,Kafka,Big Data"
Elixir Developer,"Elixir,Phoenix,PostgreSQL,Erlang"
Perl Developer,"Perl,Linux,Scripting,Automation"
C Sharp Developer,"C#,DotNet,SQL Server,ASP.NET"
Vb.Net Developer,"VB.NET,DotNet,SQL Server,Windows"
Swift Developer,"Swift,iOS,Xcode,Cocoa"
Kotlin Developer,"Kotlin,Android,Spring Boot,Java"
Dart Developer,"Dart,Flutter,Mobile"
R Developer,"R,Statistics,Data Analysis,Machine Learning"
Matlab Developer,"Matlab,Mathematics,Simulation,Engineering"
Fortran Developer,"Fortran,Scientific Computing,Numerical Analysis"
Cobol Developer,"COBOL,Mainframe,Legacy Systems"
Assembly Developer,"Assembly,Low Level Programming,Embedded Systems"
C Developer,"C,Systems Programming,Embedded Systems"
C++ Developer,"C++,Object Oriented Programming,Performance"
Java Developer,"Java,Spring,Hibernate,MySQL"
Python Developer,"Python,Django,Flask,Pandas"
Javascript Developer,"JavaScript,Nodejs,React JS,Vue.js"
Typescript Developer,"TypeScript,Angular,Nodejs"
Ruby Developer,"Ruby,Rails,PostgreSQL"
Go Developer,"Go,Kubernetes,Microservices"
Rust Developer,"Rust,Performance,Systems Programming"
Php Developer,"PHP,Laravel,MySQL"
Scala Developer,"Scala,Spark,Akka"
Perl Developer,"Perl,Linux,Automation"
C# Developer,"C#,ASP.NET,SQL Server"
Vb.Net Developer,"VB.NET,Windows Forms,SQL Server"
Swift Developer,"Swift,iOS,SwiftUI"
Kotlin Developer,"Kotlin,Android,Coroutines"
Dart Developer,"Dart,Flutter"
R Developer,"R,Statistics,Data Science"
Matlab Developer,"Matlab,Simulation,Engineering"
Fortran Developer,"Fortran,Scientific Computing"
Cobol Developer,"COBOL,Mainframe"
Assembly Developer,"Assembly,Embedded Systems"
C Developer,"C,Embedded Systems"
C++ Developer,"C++,Qt,Boost"
Java Developer,"Java,Maven,Gradle"
Python Developer,"Python,pip,virtualenv"
Javascript Developer,"JavaScript,npm,Yarn"
Typescript Developer,"TypeScript,tsc,Webpack"
Ruby Developer,"Ruby,Gem,Bundler"
Go Developer,"Go,Modules,Goroutines"
Rust Developer,"Rust,Cargo,Ownership"
Php Developer,"PHP,Composer,Laravel"
Scala Developer,"Scala,sbt,Akka"
Elixir Developer,"Elixir,Mix,Phoenix"
Perl Developer,"Perl,CPAN,Moose"
C# Developer,"C#,NuGet,Entity Framework"
Vb.Net Developer,"VB.NET,Visual Studio"
Swift Developer,"Swift,SPM,CocoaPods"
Kotlin Developer,"Kotlin,Gradle,Ktor"
Dart Developer,"Dart,pub,Flutter"
R Developer,"R,CRAN,Tidyverse"
Matlab Developer,"Matlab,Simulink,Toolboxes"
Fortran Developer,"Fortran,gfortran,LAPACK"
Cobol Developer,"COBOL,Mainframe,JCL"
Assembly Developer,"Assembly,NASM,MASM"
C Developer,"C,GCC,Make"
C++ Developer,"C++,g++,CMake"
